"","s_code","s_name","s_description","s_resource_code","s_sensor_type_code","s_table_name","s_table_type","s_x_offset","s_y_offset","s_z_offset","s_datum_code","s_datum_value","s_graph_value","s_min_value_1","s_max_value_1","s_min_value_2","s_max_value_2","s_min_value_3","s_max_value_3","s_min_value_4","s_max_value_4","s_min_value_5","s_max_value_5","deleted","datestamp"
"588",601,"scevo.data.bom.idy.perth_metro.raw.atmpress","scevo.data.bom.idy.perth_metro.raw.atmpress",29,5,"sensor_repository_00601","RAW",0,0,0,2,0,"Atmospheric Pressure QNH (hPa)",990,1100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:46
"589",602,"scevo.data.bom.idy.perth_metro.raw.Rainfall_9am","scevo.data.bom.idy.perth_metro.raw.Rainfall_9am",29,8,"sensor_repository_00602","RAW",0,0,0,2,0,"Rainfall since 9 am",0,200,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:46
"590",603,"scevo.data.bom.idy.perth_metro.raw.rainfall","scevo.data.bom.idy.perth_metro.raw.rainfall",29,7,"sensor_repository_00603","RAW",0,0,0,2,0,"Rainfall (MM)",0,100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:47
"591",604,"scevo.data.bom.idy.perth_metro.downsampled.15min.wind_speed","scevo.data.bom.idy.perth_metro.downsampled.15min.wind_speed",29,1,"sensor_repository_00604","SAMPLED",0,0,0,2,0,"Wind Speed (knots)",0,30,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:47
"592",605,"scevo.data.bom.idy.perth_metro.downsampled.15min.wind_direction","scevo.data.bom.idy.perth_metro.downsampled.15min.wind_direction",29,2,"sensor_repository_00605","SAMPLED",0,0,0,2,0,"Wind Direction",0,360,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:47
"593",606,"scevo.data.bom.idy.perth_metro.downsampled.15min.air_temperature","scevo.data.bom.idy.perth_metro.downsampled.15min.air_temperature",29,3,"sensor_repository_00606","SAMPLED",0,0,0,2,0,"Air Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:47
"594",607,"scevo.data.bom.idy.perth_metro.downsampled.15min.dew_point","scevo.data.bom.idy.perth_metro.downsampled.15min.dew_point",29,4,"sensor_repository_00607","SAMPLED",0,0,0,2,0,"Dew Point Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:47
"595",608,"scevo.data.bom.idy.perth_metro.downsampled.15min.atmpress","scevo.data.bom.idy.perth_metro.downsampled.15min.atmpress",29,5,"sensor_repository_00608","SAMPLED",0,0,0,2,0,"Atmospheric Pressure QNH (hPa)",990,1100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:47
"596",584,"scevo.data.bom.idy.perth_airport.downsampled.30min.wind_direction","scevo.data.bom.idy.perth_airport.downsampled.30min.wind_direction",28,2,"sensor_repository_00584","SAMPLED",0,0,0,2,0,"Wind Direction",0,360,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:43
"597",585,"scevo.data.bom.idy.perth_airport.downsampled.30min.air_temperature","scevo.data.bom.idy.perth_airport.downsampled.30min.air_temperature",28,3,"sensor_repository_00585","SAMPLED",0,0,0,2,0,"Air Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:44
